Amino Acid,MW,pI,hI,conc ,C1%,C2%,C3%,P,T,LogP,NumHDonors,NumHAcceptors,LogP,NumHDonors,NumHAcceptors
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,2.95,274.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,4.41,278.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,5.92,281.05,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,7.43,283.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,8.95,284.85,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,100.0,0.0,0.0,2.95,273.95,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,100.0,0.0,0.0,4.41,277.65,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,100.0,0.0,0.0,5.91,280.35,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,100.0,0.0,0.0,7.36,282.35,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,100.0,0.0,0.0,8.93,284.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,100.0,0.0,0.0,2.93,273.05,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,100.0,0.0,0.0,4.4,276.95,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,100.0,0.0,0.0,5.9,279.85,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,100.0,0.0,0.0,7.39,281.92,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,100.0,0.0,0.0,8.91,283.58,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,93.0,5.0,2.0,1.25,276.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,93.0,5.0,2.0,1.95,280.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,93.0,5.0,2.0,2.66,282.95,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,93.0,5.0,2.0,3.37,284.85,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,93.0,5.0,2.0,4.1,286.65,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,93.0,5.0,2.0,1.25,275.75,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,93.0,5.0,2.0,1.95,279.95,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,93.0,5.0,2.0,2.66,282.55,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,93.0,5.0,2.0,3.36,284.55,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,6.12,93.0,5.0,2.0,4.11,286.35,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,93.0,5.0,2.0,1.24,275.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,93.0,5.0,2.0,1.95,279.45,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,93.0,5.0,2.0,2.66,282.05,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,93.0,5.0,2.0,3.36,284.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.02,93.0,5.0,2.0,4.09,285.75,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Serine,105.09,5.7,-0.8,7.14,100.0,0.0,0.0,2.94,273.75,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,100.0,0.0,0.0,4.42,277.45,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,100.0,0.0,0.0,5.92,280.25,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,100.0,0.0,0.0,7.43,282.25,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,100.0,0.0,0.0,8.94,284.05,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,100.0,0.0,0.0,2.94,272.65,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,100.0,0.0,0.0,4.4,276.5,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,100.0,0.0,0.0,5.89,279.15,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,100.0,0.0,0.0,7.38,281.2,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,100.0,0.0,0.0,8.89,282.85,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,93.0,5.0,2.0,1.24,275.45,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,93.0,5.0,2.0,1.95,279.75,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,93.0,5.0,2.0,2.66,282.55,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,93.0,5.0,2.0,3.37,284.45,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,7.14,93.0,5.0,2.0,4.07,286.15,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
