Amino Acid,No. ,MW,pI,hI,conc ,C1%,C2%,C3%,P,T
Serine,73,105.09,5.70,-0.80,7.14,100.00,0.00,0.00,5.92,280.25
Serine,74,105.09,5.70,-0.80,7.14,100.00,0.00,0.00,7.43,282.25
Serine,75,105.09,5.70,-0.80,7.14,100.00,0.00,0.00,8.94,284.05
Serine,76,105.09,5.70,-0.80,15.29,100.00,0.00,0.00,2.94,272.65
Serine,77,105.09,5.70,-0.80,15.29,100.00,0.00,0.00,4.40,276.50
Serine,78,105.09,5.70,-0.80,15.29,100.00,0.00,0.00,5.89,279.15
Serine,79,105.09,5.70,-0.80,15.29,100.00,0.00,0.00,7.38,281.20
Serine,80,105.09,5.70,-0.80,15.29,100.00,0.00,0.00,8.89,282.85
Serine,81,105.09,5.70,-0.80,7.14,93.00,5.00,2.00,1.24,275.45
Serine,82,105.09,5.70,-0.80,7.14,93.00,5.00,2.00,1.95,279.75
Serine,83,105.09,5.70,-0.80,7.14,93.00,5.00,2.00,2.66,282.55
Serine,84,105.09,5.70,-0.80,7.14,93.00,5.00,2.00,3.37,284.45
Serine,85,105.09,5.70,-0.80,7.14,93.00,5.00,2.00,4.07,286.15
Serine,86,105.09,5.70,-0.80,15.29,93.00,5.00,2.00,1.24,274.05
Serine,87,105.09,5.70,-0.80,15.29,93.00,5.00,2.00,1.94,278.35
Serine,88,105.09,5.70,-0.80,15.29,93.00,5.00,2.00,2.64,281.45
Serine,89,105.09,5.70,-0.80,15.29,93.00,5.00,2.00,3.35,283.45
Serine,90,105.09,5.70,-0.80,15.29,93.00,5.00,2.00,4.05,284.75
Proline,91,115.13,6.30,-1.60,7.77,100.00,0.00,0.00,2.94,273.65
Proline,92,115.13,6.30,-1.60,7.77,100.00,0.00,0.00,4.42,277.35
Proline,93,115.13,6.30,-1.60,7.77,100.00,0.00,0.00,5.91,280.05
Proline,94,115.13,6.30,-1.60,7.77,100.00,0.00,0.00,7.42,282.25
Proline,95,115.13,6.30,-1.60,7.77,100.00,0.00,0.00,8.93,283.85
Proline,96,115.13,6.30,-1.60,16.51,100.00,0.00,0.00,2.93,272.30
Proline,97,115.13,6.30,-1.60,16.51,100.00,0.00,0.00,4.41,276.15
Proline,98,115.13,6.30,-1.60,16.51,100.00,0.00,0.00,5.87,278.85
Proline,99,115.13,6.30,-1.60,16.51,100.00,0.00,0.00,7.38,280.95
Proline,100,115.13,6.30,-1.60,16.51,100.00,0.00,0.00,8.87,282.50
Proline,101,115.13,6.30,-1.60,28.99,100.00,0.00,0.00,2.89,268.40
Proline,102,115.13,6.30,-1.60,28.99,100.00,0.00,0.00,4.33,272.49
Proline,103,115.13,6.30,-1.60,28.99,100.00,0.00,0.00,5.78,275.05
Proline,104,115.13,6.30,-1.60,28.99,100.00,0.00,0.00,7.23,277.00
Proline,105,115.13,6.30,-1.60,28.99,100.00,0.00,0.00,8.70,278.65
Proline,106,115.13,6.30,-1.60,38.75,100.00,0.00,0.00,2.84,264.90
Proline,107,115.13,6.30,-1.60,38.75,100.00,0.00,0.00,4.24,268.10
Proline,108,115.13,6.30,-1.60,38.75,100.00,0.00,0.00,5.66,270.65
Proline,109,115.13,6.30,-1.60,38.75,100.00,0.00,0.00,7.07,272.65
Proline,110,115.13,6.30,-1.60,38.75,100.00,0.00,0.00,8.47,274.00
Proline,111,115.13,6.30,-1.60,7.77,93.00,5.00,2.00,1.24,274.85
Proline,112,115.13,6.30,-1.60,7.77,93.00,5.00,2.00,1.95,279.35
Proline,113,115.13,6.30,-1.60,7.77,93.00,5.00,2.00,2.65,282.05
Proline,114,115.13,6.30,-1.60,7.77,93.00,5.00,2.00,3.36,283.95
Proline,115,115.13,6.30,-1.60,7.77,93.00,5.00,2.00,4.07,285.45
Proline,116,115.13,6.30,-1.60,16.51,93.00,5.00,2.00,1.23,273.65
Proline,117,115.13,6.30,-1.60,16.51,93.00,5.00,2.00,1.93,277.65
Proline,118,115.13,6.30,-1.60,16.51,93.00,5.00,2.00,2.63,280.45
Proline,119,115.13,6.30,-1.60,16.51,93.00,5.00,2.00,3.34,282.45
Proline,120,115.13,6.30,-1.60,16.51,93.00,5.00,2.00,4.06,283.75
Proline,121,115.13,6.30,-1.60,28.99,93.00,5.00,2.00,1.24,270.75
Proline,122,115.13,6.30,-1.60,28.99,93.00,5.00,2.00,1.90,274.50
Proline,123,115.13,6.30,-1.60,28.99,93.00,5.00,2.00,2.60,277.10
Proline,124,115.13,6.30,-1.60,28.99,93.00,5.00,2.00,3.29,279.20
Proline,125,115.13,6.30,-1.60,28.99,93.00,5.00,2.00,4.00,280.65
Proline,126,115.13,6.30,-1.60,38.75,93.00,5.00,2.00,1.21,267.65
Proline,127,115.13,6.30,-1.60,38.75,93.00,5.00,2.00,1.89,271.25
Proline,128,115.13,6.30,-1.60,38.75,93.00,5.00,2.00,2.57,274.00
Proline,129,115.13,6.30,-1.60,38.75,93.00,5.00,2.00,3.26,275.70
Proline,130,115.13,6.30,-1.60,38.75,93.00,5.00,2.00,3.93,276.75
Glycine,131,75.07,6.06,-0.40,5.00,100.00,0.00,0.00,4.55,277.90
Glycine,132,75.07,6.06,-0.40,5.00,100.00,0.00,0.00,6.15,280.90
Glycine,133,75.07,6.06,-0.40,5.00,100.00,0.00,0.00,7.50,282.75
Glycine,134,75.07,6.06,-0.40,5.00,100.00,0.00,0.00,9.84,285.20
Glycine,135,75.07,6.06,-0.40,10.00,100.00,0.00,0.00,4.65,277.25
Glycine,136,75.07,6.06,-0.40,10.00,100.00,0.00,0.00,6.10,280.00
Glycine,137,75.07,6.06,-0.40,10.00,100.00,0.00,0.00,7.62,282.10
Glycine,138,75.07,6.06,-0.40,10.00,100.00,0.00,0.00,9.98,284.50
Glycine,139,75.07,6.06,-0.40,15.00,100.00,0.00,0.00,4.60,276.80
Glycine,140,75.07,6.06,-0.40,15.00,100.00,0.00,0.00,6.20,279.70
Glycine,141,75.07,6.06,-0.40,15.00,100.00,0.00,0.00,7.58,281.55
Glycine,142,75.07,6.06,-0.40,15.00,100.00,0.00,0.00,9.65,283.73
Glycine,143,75.07,6.06,-0.40,20.00,100.00,0.00,0.00,4.80,276.50
Glycine,144,75.07,6.06,-0.40,20.00,100.00,0.00,0.00,6.45,279.40
Glycine,145,75.07,6.06,-0.40,20.00,100.00,0.00,0.00,7.53,280.80
Glycine,146,75.07,6.06,-0.40,20.00,100.00,0.00,0.00,9.77,283.10
Alanine,147,89.09,6.11,1.80,10.00,100.00,0.00,0.00,4.61,277.55
Alanine,148,89.09,6.11,1.80,10.00,100.00,0.00,0.00,6.10,280.15
Alanine,149,89.09,6.11,1.80,10.00,100.00,0.00,0.00,7.52,282.20
Alanine,150,89.09,6.11,1.80,10.00,100.00,0.00,0.00,9.55,284.30
Proline,151,115.13,6.30,-1.60,10.00,100.00,0.00,0.00,4.55,277.60
Proline,152,115.13,6.30,-1.60,10.00,100.00,0.00,0.00,6.15,280.30
Proline,153,115.13,6.30,-1.60,10.00,100.00,0.00,0.00,7.59,282.40
Proline,154,115.13,6.30,-1.60,10.00,100.00,0.00,0.00,9.82,284.85
Serine,155,105.09,5.70,-0.80,10.00,100.00,0.00,0.00,4.56,277.70
Serine,156,105.09,5.70,-0.80,10.00,100.00,0.00,0.00,6.10,280.55
Serine,157,105.09,5.70,-0.80,10.00,100.00,0.00,0.00,7.57,282.50
Serine,158,105.09,5.70,-0.80,10.00,100.00,0.00,0.00,9.80,285.00
Arginine,159,174.20,10.76,-4.50,10.00,100.00,0.00,0.00,4.70,278.55
Arginine,160,174.20,10.76,-4.50,10.00,100.00,0.00,0.00,6.10,281.05
Arginine,161,174.20,10.76,-4.50,10.00,100.00,0.00,0.00,7.56,282.90
Arginine,162,174.20,10.76,-4.50,10.00,100.00,0.00,0.00,9.65,285.40
Lysine,163,146.19,9.47,-3.90,5.00,100.00,0.00,0.00,4.60,278.15
Lysine,164,146.19,9.47,-3.90,5.00,100.00,0.00,0.00,6.30,281.25
Lysine,165,146.19,9.47,-3.90,5.00,100.00,0.00,0.00,8.20,283.70
Lysine,166,146.19,9.47,-3.90,5.00,100.00,0.00,0.00,10.01,285.62
Lysine,167,146.19,9.47,-3.90,10.00,100.00,0.00,0.00,4.90,278.05
Lysine,168,146.19,9.47,-3.90,10.00,100.00,0.00,0.00,6.19,280.30
Lysine,169,146.19,9.47,-3.90,10.00,100.00,0.00,0.00,8.03,283.00
Lysine,170,146.19,9.47,-3.90,10.00,100.00,0.00,0.00,10.40,285.20
L-valine,171,117.15,6.02,4.20,1.00,100.00,0.00,0.00,3.60,276.20
L-valine,172,117.15,6.02,4.20,1.00,100.00,0.00,0.00,5.10,279.40
L-valine,173,117.15,6.02,4.20,1.00,100.00,0.00,0.00,6.60,282.10
L-valine,174,117.15,6.02,4.20,1.00,100.00,0.00,0.00,8.10,284.10
L-threonine,175,119.12,5.60,-0.70,1.00,100.00,0.00,0.00,4.60,278.60
L-threonine,176,119.12,5.60,-0.70,1.00,100.00,0.00,0.00,6.30,281.50
L-threonine,177,119.12,5.60,-0.70,1.00,100.00,0.00,0.00,8.20,284.00
L-threonine,178,119.12,5.60,-0.70,1.00,100.00,0.00,0.00,10.10,286.00
L-asparagine,179,132.12,5.43,-3.50,1.00,100.00,0.00,0.00,4.30,277.90
L-asparagine,180,132.12,5.43,-3.50,1.00,100.00,0.00,0.00,6.10,281.50
L-asparagine,181,132.12,5.43,-3.50,1.00,100.00,0.00,0.00,7.60,283.30
L-asparagine,182,132.12,5.43,-3.50,1.00,100.00,0.00,0.00,10.30,286.10
